"Effect_Size","Sample_Size","Simulation","MeLSI_F","MeLSI_p","MeLSI_significant","Euclidean_F","Euclidean_p","Euclidean_significant","BrayCurtis_F","BrayCurtis_p","BrayCurtis_significant","Jaccard_F","Jaccard_p","Jaccard_significant","WeightedUniFrac_F","WeightedUniFrac_p","WeightedUniFrac_significant","UnweightedUniFrac_F","UnweightedUniFrac_p","UnweightedUniFrac_significant","Best_Traditional","Best_Traditional_F"
"Small",100,29,1.36964679294763,0.303482587064677,FALSE,1.06928220487724,0.248,FALSE,1.20555767779542,0.061,FALSE,0.975250056688444,0.551,FALSE,1.5492026339881,0.025,TRUE,0.850086289857523,0.768,FALSE,"WeightedUniFrac",1.5492026339881
"Medium",100,29,1.23560472647675,0.711442786069652,FALSE,0.998273059635995,0.521,FALSE,1.43970630988144,0.001,TRUE,0.803002443201715,0.873,FALSE,1.51120260257294,0.028,TRUE,0.897169693351056,0.681,FALSE,"WeightedUniFrac",1.51120260257294
"Large",100,29,2.05218366725591,0.00497512437810945,TRUE,1.89538164013845,0.001,TRUE,4.45208964378873,0.001,TRUE,1.45629186524098,0.01,TRUE,3.68914918592196,0.001,TRUE,1.33926285090447,0.07,FALSE,"BrayCurtis",4.45208964378873
"Small",200,29,1.6293840579915,0.0199004975124378,TRUE,1.21371061287213,0.023,TRUE,1.31029935662569,0.004,TRUE,1.29786215951365,0.043,TRUE,1.80672982218755,0.003,TRUE,1.28677671378696,0.093,FALSE,"WeightedUniFrac",1.80672982218755
"Medium",200,3,1.71920113835725,0.0199004975124378,TRUE,1.32784491363299,0.001,TRUE,2.0934854775437,0.001,TRUE,1.26041836272068,0.082,FALSE,2.27687759226104,0.001,TRUE,1.22085958507882,0.152,FALSE,"WeightedUniFrac",2.27687759226104
"Medium",200,29,1.94931347573328,0.00497512437810945,TRUE,1.51236924236504,0.001,TRUE,2.2601296903579,0.001,TRUE,1.27922939885913,0.055,FALSE,3.07114024336757,0.001,TRUE,1.30653558837195,0.075,FALSE,"WeightedUniFrac",3.07114024336757
"Large",200,29,3.23179552454618,0.00497512437810945,TRUE,2.99772522333762,0.001,TRUE,8.50758314824039,0.001,TRUE,0.941784077820063,0.629,FALSE,11.3694506181964,0.001,TRUE,0.907083721451766,0.649,FALSE,"WeightedUniFrac",11.3694506181964
"Small",50,30,1.31004063685394,0.174129353233831,FALSE,1.0883506548835,0.179,FALSE,1.22073001917184,0.04,TRUE,1.0178464538347,0.474,FALSE,1.35576845433652,0.093,FALSE,1.16861536086708,0.21,FALSE,"WeightedUniFrac",1.35576845433652
"Medium",50,30,1.40334507076043,0.0696517412935323,FALSE,1.19129640292481,0.031,TRUE,1.32401818326781,0.003,TRUE,0.981687402053022,0.542,FALSE,1.22832746971395,0.17,FALSE,0.92334415360256,0.634,FALSE,"BrayCurtis",1.32401818326781
"Large",50,30,1.48555276156977,0.0248756218905473,TRUE,1.34998104887916,0.002,TRUE,2.76982156499235,0.001,TRUE,0.829956345920203,0.822,FALSE,2.42017072327113,0.001,TRUE,0.791019933372077,0.851,FALSE,"BrayCurtis",2.76982156499235
"Small",100,30,1.29512208502675,0.567164179104478,FALSE,1.0188467710697,0.428,FALSE,1.0449464831539,0.341,FALSE,0.999043484952079,0.494,FALSE,1.14266065056666,0.218,FALSE,1.080464724519,0.334,FALSE,"WeightedUniFrac",1.14266065056666
"Medium",100,30,1.46096925449021,0.119402985074627,FALSE,1.1260651460385,0.108,FALSE,1.69334163047057,0.001,TRUE,0.944052512847035,0.605,FALSE,1.62446647996482,0.018,TRUE,0.95390788498643,0.581,FALSE,"BrayCurtis",1.69334163047057
"Large",100,30,2.00869532494998,0.00497512437810945,TRUE,1.8885655347907,0.001,TRUE,4.32460700064307,0.001,TRUE,0.958328395867838,0.593,FALSE,4.50784286271137,0.001,TRUE,0.830379349168652,0.802,FALSE,"WeightedUniFrac",4.50784286271137
"Small",200,30,1.45498494380297,0.213930348258706,FALSE,1.07057214406092,0.229,FALSE,1.29123017715468,0.004,TRUE,0.875977811840279,0.766,FALSE,1.29706837655582,0.111,FALSE,0.822174861767547,0.79,FALSE,"WeightedUniFrac",1.29706837655582
"Medium",200,30,1.71576934146357,0.00995024875621891,TRUE,1.31188948921505,0.003,TRUE,1.94802134959311,0.001,TRUE,1.18076422982729,0.132,FALSE,1.59401209839304,0.019,TRUE,1.21652957472946,0.142,FALSE,"BrayCurtis",1.94802134959311
"Large",200,3,2.96781517646352,0.00497512437810945,TRUE,2.76459941523283,0.001,TRUE,7.50047097381642,0.001,TRUE,1.05203168912093,0.378,FALSE,6.93291679108341,0.001,TRUE,1.04351518964729,0.402,FALSE,"BrayCurtis",7.50047097381642
"Large",200,30,3.28128164652285,0.00497512437810945,TRUE,2.96429022920911,0.001,TRUE,7.86601567975577,0.001,TRUE,0.920133833616548,0.683,FALSE,8.13689762866384,0.001,TRUE,1.02222273624601,0.454,FALSE,"WeightedUniFrac",8.13689762866384
"Small",50,31,1.02797481625919,0.955223880597015,FALSE,0.809645052457328,0.97,FALSE,0.793470579569898,0.969,FALSE,0.968096467206219,0.566,FALSE,0.615105230922432,0.984,FALSE,1.10655212268608,0.285,FALSE,"UnweightedUniFrac",1.10655212268608
"Medium",50,31,1.36405853321701,0.134328358208955,FALSE,1.15300144171763,0.083,FALSE,1.33632907043644,0.007,TRUE,1.02430972741797,0.428,FALSE,1.34787791339137,0.089,FALSE,1.03116410079706,0.431,FALSE,"WeightedUniFrac",1.34787791339137
"Large",50,31,1.44880136095049,0.0248756218905473,TRUE,1.30911373710311,0.002,TRUE,2.63186946819872,0.001,TRUE,0.945639273208026,0.6,FALSE,2.65144803882362,0.001,TRUE,1.06988920452839,0.367,FALSE,"WeightedUniFrac",2.65144803882362
"Small",100,31,1.4108682419557,0.194029850746269,FALSE,1.07746153350564,0.19,FALSE,1.05990902814848,0.302,FALSE,1.12141269491225,0.203,FALSE,0.903853615391597,0.657,FALSE,1.15012085959042,0.24,FALSE,"UnweightedUniFrac",1.15012085959042
"Medium",100,31,1.8908446419484,0.00497512437810945,TRUE,1.5676891399262,0.001,TRUE,2.07559035642934,0.001,TRUE,1.00369343006059,0.483,FALSE,2.1319094775881,0.001,TRUE,0.993355513836888,0.499,FALSE,"WeightedUniFrac",2.1319094775881
